Food Name (CANSIM Adjusted for waste),Food Group,Serving size (CFG),Reference value (g) (CNF),Waste Factor,Ag Commodity Conversion Factor,Months SWBC Avail' 
Brussels sprouts fresh,Fruit & Vegetables,4 sprouts,76,1.42,1,4
Brussels sprouts frozen,Fruit & Vegetables,125mL,87.5,1.22,1.33,12
Cabbage,Fruit & Vegetables,125mL,37,1.52,1,8
Cabbage canned,Fruit & Vegetables,,,,,
Carrots fresh,Fruit & Vegetables,1 large,72,1.43,1,9
Carrots canned,Fruit & Vegetables,125mL slices,77.1,1.16,1.24,12
Carrots frozen,Fruit & Vegetables,125mL slices,67.6,1.18,1.82,12
Cauliflower fresh,Fruit & Vegetables,4 florets,52.8,1.93,1,6
Cauliflower frozen,Fruit & Vegetables,,,,,
Celery fresh,Fruit & Vegetables,1 medium stalk,40,1.43,1,5
Celery frozen,Fruit & Vegetables,,,,,
Corn fresh,Fruit & Vegetables,1 medium ear,90,2.08,1,4
Corn canned,Fruit & Vegetables,125mL,86.6,1.16,2.39,12
Corn frozen,Fruit & Vegetables,125mL,86.6,1.2,3.33,12
Cucumbers fresh,Fruit & Vegetables,125mL,62.9,1.59,1,9
Cucumbers canned,Fruit & Vegetables,,,,,
Lettuce fresh,Fruit & Vegetables,1 cup,59.2,1.505,1,6
Manioc fresh,Fruit & Vegetables,125mL,108.8,1.55,1,0
Mushrooms fresh,Fruit & Vegetables,125mL,50.7,1.35,1,12
Mushrooms canned,Fruit & Vegetables,125mL pieces,82.4,1.16,0.84,12
Onions and shallots fresh,Fruit & Vegetables,125mL,84.5,1.57,1,12
Peas fresh,Fruit & Vegetables,125mL,76.6,1.46,1,2
Peas canned,Fruit & Vegetables,125mL,89.8,1.16,0.74,12
Peas frozen,Fruit & Vegetables,125mL,76.1,1.23,1.09,12
Peppers fresh,Fruit & Vegetables,1/2 med,59.5,1.5,1,8
Peppers frozen,Fruit & Vegetables,,,,,
Potatoes sweet fresh,Fruit & Vegetables,125mL,70.3,1.68,1,0
"Potatoes white fresh (7,8,9)",Fruit & Vegetables,125mL,79.2,1.71,1,12
Potatoes frozen,Fruit & Vegetables,125mL,96.2,1.71,1.7,12
