Ref_Date,GEO,COM,PRO,UNI,Value
2004,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,..
2007,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,27215542
2008,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,28461787
2009,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,27986649
2010,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,29838136
2011,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,29513441
2012,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,33371276
2013,British Columbia,"Fresh peppers, greenhouse",Production,Kilograms,41853297
2002,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2007,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2008,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2009,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2010,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,
2011,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,..
2012,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,..
2013,British Columbia,"Fresh eggplants, greenhouse",Area harvested,Square metres,..
2002,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2007,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2008,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2009,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2010,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,
2011,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,..
2012,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,..
2013,British Columbia,"Fresh eggplants, greenhouse",Production,Kilograms,..
2002,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2007,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2008,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2009,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2010,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,
2011,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,..
2012,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,..
2013,British Columbia,"Fresh Chinese vegetables, greenhouse",Area harvested,Square metres,..
2002,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2007,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2008,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2009,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2010,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,
2011,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,..
2012,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,..
2013,British Columbia,"Fresh Chinese vegetables, greenhouse",Production,Kilograms,..
2002,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2007,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2008,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2009,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
2010,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,
