,commodity,group,SWBC Food Need Balanced (t),diet and seasonality constraint (balanced),SWBC Food Need Unbalanced (t),diet and seasonality constraint (unbalanced)
59,Mushrooms canned,Fruit & Vegetables,1768.6543671754523,1768.654367175452,963.815365632,963.8153656320001
60,Mushrooms fresh,Fruit & Vegetables,6821.422739863386,6821.422739863385,3717.2848320000007,3717.2848320000003
61,"Mutton and lamb, boneless weight",Meat & Alts,3593.781324360756,3593.781324360756,2382.420012544,2382.420012544
62,Oatmeal and rolled oats,Grains,32196.600251392,32196.600251392003,32196.600251392,32196.600251392003
63,Onions and shallots fresh,Fruit & Vegetables,35737.28901499948,35737.28901499948,19474.7763712,19474.7763712
64,"Orange juice (litres per person, per year)",Fruit & Vegetables,97169.00595364954,0.0,52951.544823808006,0.0
65,Papayas fresh,Fruit & Vegetables,1537.9475217167717,0.0,838.0933439999999,0.0
66,"Partly skimmed milk 1% (litres per person, per year)",Milk & Alts,93896.67193413539,93896.67193413539,44751.25212509951,44751.25212509951
67,"Partly skimmed milk 2% (litres per person, per year)",Milk & Alts,192602.6856014826,192602.6856014826,91794.64155416755,91794.64155416755
68,Peaches canned,Fruit & Vegetables,4411.392745927962,4411.392745927962,2403.956471808,2403.956471808
69,Peaches fresh,Fruit & Vegetables,4529.954518511219,377.49620987593494,2468.5658496,205.7138208
70,Peanuts,Meat & Alts,11180.057972451863,0.0,7411.578905599999,0.0
71,Pears canned,Fruit & Vegetables,1671.9132981858038,1671.9132981858038,911.097021952,911.097021952
72,Pears fresh,Fruit & Vegetables,9409.197277999261,3920.498865833026,5127.473792,2136.4474133333333
73,Peas canned,Fruit & Vegetables,1221.2137297163833,1221.2137297163833,665.491561984,665.491561984
74,Peas fresh,Fruit & Vegetables,1289.2268220324327,214.87113700540544,702.5548031999999,117.09246719999999
75,Peas frozen,Fruit & Vegetables,3946.2703203170827,3946.2703203170827,2150.49138048,2150.49138048
76,Peppers fresh,Fruit & Vegetables,15820.991252110332,10547.327501406888,8621.5344,5747.689600000001
77,"Pineapple juice (litres per person, per year)",Fruit & Vegetables,4837.053449482414,0.0,2635.917184,0.0
78,Pineapples canned,Fruit & Vegetables,5676.993554357242,0.0,3093.636450304,0.0
79,Pineapples fresh,Fruit & Vegetables,9625.049561748983,0.0,5245.100928000001,0.0
80,Plums total fresh,Fruit & Vegetables,3723.4518946827106,620.5753157804518,2029.068096,338.178016
81,"Pork, boneless weight",Meat & Alts,71223.33277156229,71223.33277156229,47215.976165504006,47215.976165504006
82,Pot and pearl barley,Grains,1690.4088780800002,1690.4088780800002,1690.4088780800002,1690.4088780800002
83,Potatoes frozen,Fruit & Vegetables,86564.07532688382,86564.07532688382,47172.46481856,47172.46481856
84,Potatoes sweet fresh,Fruit & Vegetables,5521.893877015625,0.0,3009.1160064,0.0
85,"Potatoes white fresh (7,8,9)",Fruit & Vegetables,99071.78308077315,99071.78308077317,53988.4494144,53988.4494144
86,Powder buttermilk,Milk & Alts,3469.9435304558533,3469.9435304558538,1653.7787185920001,1653.7787185920001
87,Powder skim milk,Milk & Alts,43971.12441793658,43971.12441793658,20956.683921997825,20956.683921997825
88,Processed cheese,Milk & Alts,62589.159005499416,62589.159005499416,29830.058693856514,29830.05869385651
89,Pumpkins and squash fresh,Fruit & Vegetables,13426.993195977047,10070.244896982786,7316.942528,5487.706896
90,Radishes fresh,Fruit & Vegetables,2786.4567538600527,1625.433106418364,1518.4593920000002,885.7679786666669
91,Raspberries frozen,Fruit & Vegetables,1758.4111951647835,1758.4111951647833,958.2334233599998,958.23342336
92,Rice,Grains,16938.307584,0.0,16938.307584,0.0
93,Rutabagas and turnips fresh,Fruit & Vegetables,5342.344022805629,4897.1486875718265,2911.2716159999995,2668.6656479999997
94,Rye flour,Grains,809.8628313600002,0.0,809.8628313600002,0.0
95,Salad oils (17),Fats & Oils,72303.03458975999,72303.03458975999,72303.03458975999,72303.03458975999
