Ref_Date,GEO,GREEN,UOM,Value
2011,"Powell River, British Columbia [CD590127000]",Greenhouse vegetables,Square metres,2128
2011,"Powell River, British Columbia [CD590127000]",Total growing area for mushrooms,Square metres,x
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Greenhouse vegetables,Square metres,2632358
2011,"Lower Mainland-Southwest, British Columbia [CAR590200000]",Total growing area for mushrooms,Square metres,214020
