Meat,Beef,Lamb,Pork,Turkey,Chicken
Lifespan of animal,1.0000000,1.0000000,0.4861111,0.2564103,0.0961538
Lifespan of breeder,8.0000000,,2.4000000,1.1153846,1.1153846
Rearing Period,1.2500000,,0.9166667,0.6153846,0.3516484
Wo,0.3566000,0.0225000,0.0926000,0.0077742,0.0015865
Wb,0.3566000,0.0225000,0.0926000,0.0077742,0.0015865
Lb,6.7500000,8.0000000,2.4000000,0.5000000,1.1153846
noffspring,0.8500000,1.5000000,24.0000000,88.9188793,81.9805193
Fr,0.1742919,0.0833333,0.0173611,0.0224924,0.0109362
