,commodity,kg/person,servings/person,name,group,serving,reference,waste,conversion,season,percent of group,balanced rec(kg),balanced rec(t),incwaste,Food Need (tonnes)/person,SWBC Food Need,diet and seasonality constraint
31,Carrots fresh,5.33,74.02777778,Carrots fresh,Fruit & Vegetables,1 large,72,1.43,1,9,0.043763856,9.780844043,0.009780844,0.013986607,0.013986607,37391.01185,28043.25889
32,Carrots frozen,1.06,15.68047337,Carrots frozen,Fruit & Vegetables,125mL slices,67.6,1.18,1.82,12,0.008703506,1.945158478,0.001945158,0.002295287,0.004177422,11167.68696,11167.68696
33,Cauliflower fresh,0.77,14.58333333,Cauliflower fresh,Fruit & Vegetables,4 florets,52.8,1.93,1,6,0.006322358,1.412992479,0.001412992,0.002727075,0.002727075,7290.410884,3645.205442
34,Celery fresh,1.88,47,Celery fresh,Fruit & Vegetables,1 medium stalk,40,1.43,1,5,0.015436407,3.449903715,0.003449904,0.004933362,0.004933362,13188.57454,5495.23939
35,Cheddar cheese,2.71,54.2,Cheddar cheese,Milk & Alts,50g,50,1.19,5.90499,12,0.042995399,5.686097458,0.005686097,0.006766456,0.039955855,106815.7449,106815.7449
36,Cherries fresh,0.6,3.658536585,Cherries fresh,Fruit & Vegetables,20 fruits,164,1.42,1,2,0.004926513,1.1010331,0.001101033,0.001563467,0.001563467,4179.685131,696.6141885
37,Cherries frozen,0.19,1.388888889,Cherries frozen,Fruit & Vegetables,20 fruits,136.8,1.16,1,12,0.001560062,0.348660482,0.00034866,0.000404446,0.000404446,1081.223712,1081.223712
38,"Chicken and stewing hen total, boneless weight",11.08,123.1111111,"Chicken and stewing hen total, boneless weight",Meat & Alts,75 g cooked,90,1.47,1.661111111,12,0.236549957,16.71371835,0.016713718,0.024569166,0.040812115,109104.8216,109104.8216
39,Coconut fresh,0.28,6.619385343,Coconut fresh,Fruit & Vegetables,125mL ,42.3,1.16,1,0,0.002299039,0.513815447,0.000513815,0.000596026,0.000596026,1593.382313,0
40,"Concentrated skim milk (litres per person, per year)",0.4,3.007518797,"Concentrated skim milk (litres per person, per year)",Milk & Alts,125mL,133,1.32,2.15579,12,0.006346184,0.839276378,0.000839276,0.001107845,0.002388281,6384.696096,6384.696096
41,"Concentrated whole milk (litres per person, per year)",0.49,3.684210526,"Concentrated whole milk (litres per person, per year)",Milk & Alts,125mL,133,1.32,2.62444,12,0.007774076,1.028113562,0.001028114,0.00135711,0.003561654,9521.525048,9521.525048
42,Corn canned,0.8,9.237875289,Corn canned,Fruit & Vegetables,125mL,86.6,1.16,2.39,12,0.006568684,1.468044134,0.001468044,0.001702931,0.004070006,10880.52494,10880.52494
43,Corn flour and meal,0.53,26.5,Corn flour and meal,Grains,,20,1.32,1.12,12,0.010164941,0.53,0.00053,0.0006996,0.000783552,2094.704038,2094.704038
44,Corn fresh,0.8,8.888888889,Corn fresh,Fruit & Vegetables,1 medium ear,90,2.08,1,4,0.006568684,1.468044134,0.001468044,0.003053532,0.003053532,8163.140913,2721.046971
45,Corn frozen,0.41,4.734411085,Corn frozen,Fruit & Vegetables,125mL,86.6,1.2,3.33,12,0.00336645,0.752372619,0.000752373,0.000902847,0.003006481,8037.3579,8037.3579
46,Cottage cheese,0.53,2.217573222,Cottage cheese,Milk & Alts,250mL,239,1.32,2.06206,12,0.008408694,1.1120412,0.001112041,0.001467894,0.003026886,8091.908313,8091.908313
47,Cranberries fresh,1,19.92031873,Cranberries fresh,Fruit & Vegetables,125mL ,50.2,1.37,1,2,0.008210855,1.835055167,0.001835055,0.002514026,0.002514026,6720.855199,1120.142533
48,Cucumbers fresh,3.19,50.7154213,Cucumbers fresh,Fruit & Vegetables,125mL,62.9,1.59,1,9,0.026192627,5.853825984,0.005853826,0.009307583,0.009307583,24882.37201,18661.77901
49,Dates fresh,0.97,38.95582329,Dates fresh,Fruit & Vegetables,3 fruits,24.9,1.26,1,0,0.007964529,1.780003512,0.001780004,0.002242804,0.002242804,5995.787755,0
50,Eggs (15),9.07,91.58532481,Eggs (15),Meat & Alts,2 (see notes),99.03333333,1.22,1,12,0.193637916,13.68171709,0.013681717,0.016691695,0.016691695,44622.64229,44622.64229
51,Figs fresh,0.29,2.9,Figs fresh,Fruit & Vegetables,2 medium,100,1.16,1,0,0.002381148,0.532165999,0.000532166,0.000617313,0.000617313,1650.288824,0
52,"Grape juice (litres per person, per year)",2.61,19.52131638,"Grape juice (litres per person, per year)",Fruit & Vegetables,125mL,133.7,1.16,1.24,12,0.021430331,4.789493987,0.004789494,0.005555813,0.006889208,18417.22328,18417.22328
53,"Grapefruit juice (litres per person, per year)",0.33,2.528735632,"Grapefruit juice (litres per person, per year)",Fruit & Vegetables,125mL,130.5,1.16,2.08,0,0.002709582,0.605568205,0.000605568,0.000702459,0.001461115,3906.062927,0
54,Grapes fresh,3.19,32.55102041,Grapes fresh,Fruit & Vegetables,20 fruits,98,1.36,1,1,0.026192627,5.853825984,0.005853826,0.007961203,0.007961203,21283.03518,1773.586265
55,"Lemon juice (litres per person, per year)",0.6,4.65477114,"Lemon juice (litres per person, per year)",Fruit & Vegetables,125mL,128.9,1.16,3,0,0.004926513,1.1010331,0.001101033,0.001277198,0.003831595,10243.17201,0
56,Lettuce fresh,5.62,94.93243243,Lettuce fresh,Fruit & Vegetables,1 cup,59.2,1.505,1,6,0.046145004,10.31301004,0.01031301,0.01552108,0.01552108,41493.18639,20746.5932
57,Manioc fresh,0.05,0.459558824,Manioc fresh,Fruit & Vegetables,125mL,108.8,1.55,1,0,0.000410543,0.091752758,9.18E-05,0.000142217,0.000142217,380.1943634,0
58,Margarine,2.75,190.9722222,Margarine,Fats & Oils,15mL,14.4,1.22,2.27,12,0.15010917,2.75,0.00275,0.003355,0.00761585,20359.7869,20359.7869
59,Mushrooms canned,0.37,4.490291262,Mushrooms canned,Fruit & Vegetables,125mL pieces,82.4,1.16,0.84,12,0.003038016,0.678970412,0.00067897,0.000787606,0.000661589,1768.654367,1768.654367
60,Mushrooms fresh,1.03,20.31558185,Mushrooms fresh,Fruit & Vegetables,125mL,50.7,1.35,1,12,0.00845718,1.890106822,0.001890107,0.002551644,0.002551644,6821.42274,6821.42274
61,"Mutton and lamb, boneless weight",0.41,4.555555556,"Mutton and lamb, boneless weight",Meat & Alts,75 g cooked,90,1.43,1.52,12,0.008753202,0.618467917,0.000618468,0.000884409,0.001344302,3593.781324,3593.781324
62,Oatmeal and rolled oats,4.58,152.6666667,Oatmeal and rolled oats,Grains,175mL (cooked),30,1.52,1.73,12,0.08784043,4.58,0.00458,0.0069616,0.012043568,32196.60025,32196.60025
63,Onions and shallots fresh,4.64,54.9112426,Onions and shallots fresh,Fruit & Vegetables,125mL,84.5,1.57,1,12,0.038098366,8.514655977,0.008514656,0.01336801,0.01336801,35737.28901,35737.28901
64,"Orange juice (litres per person, per year)",9.28,70.83969466,"Orange juice (litres per person, per year)",Fruit & Vegetables,125mL,131,1.16,1.84,0,0.076196732,17.02931195,0.017029312,0.019754002,0.036347363,97169.00595,0
65,Papayas fresh,0.19,1.245901639,Papayas fresh,Fruit & Vegetables,1/2 fruit,152.5,1.65,1,0,0.001560062,0.348660482,0.00034866,0.00057529,0.00057529,1537.947522,0
66,"Partly skimmed milk 1% (litres per person, per year)",12.3,47.6744186,"Partly skimmed milk 1% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.03103,12,0.195145169,25.80774861,0.025807749,0.034066228,0.035123303,93896.67193,93896.67193
67,"Partly skimmed milk 2% (litres per person, per year)",25.23,97.79069767,"Partly skimmed milk 2% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.03103,12,0.400285578,52.93735751,0.052937358,0.069877312,0.072045605,192602.6856,192602.6856
68,Peaches canned,0.76,5.896043445,Peaches canned,Fruit & Vegetables,125mL,128.9,1.16,1.02,12,0.00624025,1.394641927,0.001394642,0.001617785,0.00165014,4411.392746,4411.392746
69,Peaches fresh,0.54,5.510204082,Peaches fresh,Fruit & Vegetables,1 medium,98,1.71,1,1,0.004433862,0.99092979,0.00099093,0.00169449,0.00169449,4529.954519,377.4962099
70,Peanuts,2.39,64.59459459,Peanuts,Meat & Alts,60mL,37,1.16,1,0,0.051024765,3.60521542,0.003605215,0.00418205,0.00418205,11180.05797,0
71,Pears canned,0.26,2.029664325,Pears canned,Fruit & Vegetables,125mL,128.1,1.16,1.13,12,0.002134822,0.477114344,0.000477114,0.000553453,0.000625401,1671.913298,1671.913298
72,Pears fresh,1.37,8.253012048,Pears fresh,Fruit & Vegetables,1 medium,166,1.4,1,5,0.011248871,2.514025579,0.002514026,0.003519636,0.003519636,9409.197278,3920.498866
73,Peas canned,0.29,3.229398664,Peas canned,Fruit & Vegetables,125mL,89.8,1.16,0.74,12,0.002381148,0.532165999,0.000532166,0.000617313,0.000456811,1221.21373,1221.21373
74,Peas fresh,0.18,2.349869452,Peas fresh,Fruit & Vegetables,125mL,76.6,1.46,1,2,0.001477954,0.33030993,0.00033031,0.000482252,0.000482252,1289.226822,214.871137
75,Peas frozen,0.6,7.884362681,Peas frozen,Fruit & Vegetables,125mL,76.1,1.23,1.09,12,0.004926513,1.1010331,0.001101033,0.001354271,0.001476155,3946.27032,3946.27032
76,Peppers fresh,2.15,36.13445378,Peppers fresh,Fruit & Vegetables,1/2 med,59.5,1.5,1,8,0.017653338,3.94536861,0.003945369,0.005918053,0.005918053,15820.99125,10547.3275
77,"Pineapple juice (litres per person, per year)",0.5,3.785011355,"Pineapple juice (litres per person, per year)",Fruit & Vegetables,125mL,132.1,1.16,1.7,0,0.004105427,0.917527584,0.000917528,0.001064332,0.001809364,4837.053449,0
