Meat,Beef,Lamb,Pork,Turkey,Chicken
Lifespan of animal,1,1,0.486111111,0.256410256,0.096153846
Lifespan of breeder,8,,2.4,1.115384615,1.115384615
Rearing Period,1.25,,0.916666667,0.615384615,0.351648352
Wo,0.357,0.023,0.093,0.007774156,0.001586539
Wb,0.357,0.023,0.093,0.007774156,0.001586539
Lb,6.75,8,2.4,0.5,1.115384615
noffspring,0.85,1.5,24,88.91887931,81.98051931
Fr,0.17,0.08,0.02,0.022492411,0.010936156
