Commodity,Pasture,Hay,GSM,Barn,Total,"Hay, Barn, Pasture",Class 1-4 Land Portion - No Imports,Class 1-4 Land Portion - With Imports,Yield(T/ha) - With Imports,Yield(T/ha) - Without Imports,headperheci,headperhecni,headpercommodity - imports,headpercommodity - no imports
Beef,2.388532530230264,1.956366639162085,2.1667292138810645,0.009798423014747124,6.52142680628816,4.354697592407096,0.6322383085044417,0.44925430472444977,0.22963707095151964,0.1533406767727224,10.399215957837775,15.573463891056566,2.3880454927501686,2.3880454927501686
Lamb,3.312169312169312,2.8252784362572374,1.3185405207018828,0.006118518518518518,7.462106787646951,6.143566266945068,0.5553148828986142,0.4598759602315037,0.16277190747992976,0.13401041132987232,252.04375204011822,306.13772378462534,41.02564228796848,41.02564228796848
Pork,0.0,0.0,1.8514670757965905,0.0003329108595212384,1.8517999866561117,0.0003329108595212384,0.99982022310081,0.0,3003.807089495691,0.5400151243146676,0.003533799032473039,19.656580174614216,10.614850586595526,10.614850586595526
Turkey,0.0,0.0,0.6457940466761107,0.000633709567051906,0.6464277562431626,0.000633709567051906,0.9990196745716261,0.0,1578.0099464998166,1.5469632767808261,0.07972131722259743,81.32127854199177,125.80103152532587,125.80103152532588
Chicken,0.0,0.0,0.8502778241889195,0.0004091831045361816,0.8506870072934557,0.0004091831045361816,0.9995189968801357,0.0,2443.89367232922,1.1755204810069901,0.25512549974709514,530.4030040783681,623.4995944817558,623.4995944817558
Milk,0.01746563159408001,0.053264890324061204,0.2528506952081275,0.00015760003508720634,0.3237388171613559,0.07088812195322843,0.9455634273835517,0.7513937293924231,14.106735690639319,3.0889097846477465,0.007565434573450206,0.03455056746652678,0.10672358591248667,0.10672358591248667
Eggs,0.0,0.0,0.9365446297686246,0.0016219780224000003,0.9381666077910247,0.0016219780224000003,0.9982711194270503,0.0,616.5311651512546,1.065908754048032,0.10813186816000003,62.544440519401654,66.66666666666667,66.66666666666667
