Ref_Date,GEO,SEX,AGE,Value
2016,"Fraser Valley, British Columbia",Females,27 years,1920
2016,"Fraser Valley, British Columbia",Females,28 years,1944
2016,"Fraser Valley, British Columbia",Females,29 years,1979
2016,"Fraser Valley, British Columbia",Females,30 years,1910
2016,"Fraser Valley, British Columbia",Females,31 years,1992
2016,"Fraser Valley, British Columbia",Females,32 years,2012
2016,"Fraser Valley, British Columbia",Females,33 years,1950
2016,"Fraser Valley, British Columbia",Females,34 years,2073
2016,"Fraser Valley, British Columbia",Females,35 years,1966
2016,"Fraser Valley, British Columbia",Females,36 years,1929
2016,"Fraser Valley, British Columbia",Females,37 years,1892
2016,"Fraser Valley, British Columbia",Females,38 years,1840
2016,"Fraser Valley, British Columbia",Females,39 years,1866
2016,"Fraser Valley, British Columbia",Females,40 years,1831
2016,"Fraser Valley, British Columbia",Females,41 years,1899
2016,"Fraser Valley, British Columbia",Females,42 years,1819
2016,"Fraser Valley, British Columbia",Females,43 years,1836
2016,"Fraser Valley, British Columbia",Females,44 years,1807
2016,"Fraser Valley, British Columbia",Females,45 years,1972
2016,"Fraser Valley, British Columbia",Females,46 years,2020
2016,"Fraser Valley, British Columbia",Females,47 years,2049
2016,"Fraser Valley, British Columbia",Females,48 years,1979
2016,"Fraser Valley, British Columbia",Females,49 years,1918
2016,"Fraser Valley, British Columbia",Females,50 years,2052
2016,"Fraser Valley, British Columbia",Females,51 years,2120
2016,"Fraser Valley, British Columbia",Females,52 years,2219
2016,"Fraser Valley, British Columbia",Females,53 years,2198
2016,"Fraser Valley, British Columbia",Females,54 years,2178
2016,"Fraser Valley, British Columbia",Females,55 years,2123
2016,"Fraser Valley, British Columbia",Females,56 years,2206
2016,"Fraser Valley, British Columbia",Females,57 years,2159
2016,"Fraser Valley, British Columbia",Females,58 years,2069
2016,"Fraser Valley, British Columbia",Females,59 years,2030
2016,"Fraser Valley, British Columbia",Females,60 years,1903
2016,"Fraser Valley, British Columbia",Females,61 years,1951
2016,"Fraser Valley, British Columbia",Females,62 years,1919
2016,"Fraser Valley, British Columbia",Females,63 years,1780
2016,"Fraser Valley, British Columbia",Females,64 years,1693
2016,"Fraser Valley, British Columbia",Females,65 years,1669
2016,"Fraser Valley, British Columbia",Females,66 years,1700
2016,"Fraser Valley, British Columbia",Females,67 years,1722
2016,"Fraser Valley, British Columbia",Females,68 years,1655
2016,"Fraser Valley, British Columbia",Females,69 years,1645
2016,"Fraser Valley, British Columbia",Females,70 years,1426
2016,"Fraser Valley, British Columbia",Females,71 years,1350
2016,"Fraser Valley, British Columbia",Females,72 years,1274
2016,"Fraser Valley, British Columbia",Females,73 years,1221
2016,"Fraser Valley, British Columbia",Females,74 years,1117
2016,"Fraser Valley, British Columbia",Females,75 years,1073
2016,"Fraser Valley, British Columbia",Females,76 years,1060
2016,"Fraser Valley, British Columbia",Females,77 years,959
2016,"Fraser Valley, British Columbia",Females,78 years,902
2016,"Fraser Valley, British Columbia",Females,79 years,920
2016,"Fraser Valley, British Columbia",Females,80 years,825
2016,"Fraser Valley, British Columbia",Females,81 years,750
2016,"Fraser Valley, British Columbia",Females,82 years,694
2016,"Fraser Valley, British Columbia",Females,83 years,734
2016,"Fraser Valley, British Columbia",Females,84 years,607
2016,"Fraser Valley, British Columbia",Females,85 years,629
2016,"Fraser Valley, British Columbia",Females,86 years,598
2016,"Fraser Valley, British Columbia",Females,87 years,485
2016,"Fraser Valley, British Columbia",Females,88 years,466
2016,"Fraser Valley, British Columbia",Females,89 years,415
2016,"Fraser Valley, British Columbia",Females,90 years and over,1838
2016,"Greater Vancouver, British Columbia",Males,0 years,12492
2016,"Greater Vancouver, British Columbia",Males,1 year,12554
2016,"Greater Vancouver, British Columbia",Males,2 years,12434
2016,"Greater Vancouver, British Columbia",Males,3 years,12600
2016,"Greater Vancouver, British Columbia",Males,4 years,12415
2016,"Greater Vancouver, British Columbia",Males,5 years,12269
2016,"Greater Vancouver, British Columbia",Males,6 years,12711
2016,"Greater Vancouver, British Columbia",Males,7 years,12907
2016,"Greater Vancouver, British Columbia",Males,8 years,12757
2016,"Greater Vancouver, British Columbia",Males,9 years,12797
2016,"Greater Vancouver, British Columbia",Males,10 years,12415
2016,"Greater Vancouver, British Columbia",Males,11 years,12523
2016,"Greater Vancouver, British Columbia",Males,12 years,12630
2016,"Greater Vancouver, British Columbia",Males,13 years,12629
2016,"Greater Vancouver, British Columbia",Males,14 years,12704
2016,"Greater Vancouver, British Columbia",Males,15 years,13671
2016,"Greater Vancouver, British Columbia",Males,16 years,14376
2016,"Greater Vancouver, British Columbia",Males,17 years,15048
2016,"Greater Vancouver, British Columbia",Males,18 years,16232
2016,"Greater Vancouver, British Columbia",Males,19 years,18611
2016,"Greater Vancouver, British Columbia",Males,20 years,20033
2016,"Greater Vancouver, British Columbia",Males,21 years,20512
2016,"Greater Vancouver, British Columbia",Males,22 years,20088
2016,"Greater Vancouver, British Columbia",Males,23 years,19728
2016,"Greater Vancouver, British Columbia",Males,24 years,19257
2016,"Greater Vancouver, British Columbia",Males,25 years,18825
2016,"Greater Vancouver, British Columbia",Males,26 years,18682
2016,"Greater Vancouver, British Columbia",Males,27 years,18896
2016,"Greater Vancouver, British Columbia",Males,28 years,18132
2016,"Greater Vancouver, British Columbia",Males,29 years,17994
2016,"Greater Vancouver, British Columbia",Males,30 years,18777
2016,"Greater Vancouver, British Columbia",Males,31 years,19206
2016,"Greater Vancouver, British Columbia",Males,32 years,19089
2016,"Greater Vancouver, British Columbia",Males,33 years,19153
2016,"Greater Vancouver, British Columbia",Males,34 years,19128
2016,"Greater Vancouver, British Columbia",Males,35 years,19250
2016,"Greater Vancouver, British Columbia",Males,36 years,18867
2016,"Greater Vancouver, British Columbia",Males,37 years,18040
2016,"Greater Vancouver, British Columbia",Males,38 years,17475
2016,"Greater Vancouver, British Columbia",Males,39 years,17398
2016,"Greater Vancouver, British Columbia",Males,40 years,17459
2016,"Greater Vancouver, British Columbia",Males,41 years,17446
2016,"Greater Vancouver, British Columbia",Males,42 years,16989
2016,"Greater Vancouver, British Columbia",Males,43 years,17356
2016,"Greater Vancouver, British Columbia",Males,44 years,17443
2016,"Greater Vancouver, British Columbia",Males,45 years,18846
2016,"Greater Vancouver, British Columbia",Males,46 years,18871
2016,"Greater Vancouver, British Columbia",Males,47 years,18460
2016,"Greater Vancouver, British Columbia",Males,48 years,17940
2016,"Greater Vancouver, British Columbia",Males,49 years,17317
2016,"Greater Vancouver, British Columbia",Males,50 years,17790
2016,"Greater Vancouver, British Columbia",Males,51 years,18235
2016,"Greater Vancouver, British Columbia",Males,52 years,19000
2016,"Greater Vancouver, British Columbia",Males,53 years,19318
2016,"Greater Vancouver, British Columbia",Males,54 years,18189
2016,"Greater Vancouver, British Columbia",Males,55 years,18342
2016,"Greater Vancouver, British Columbia",Males,56 years,17764
2016,"Greater Vancouver, British Columbia",Males,57 years,17102
2016,"Greater Vancouver, British Columbia",Males,58 years,17280
2016,"Greater Vancouver, British Columbia",Males,59 years,16579
2016,"Greater Vancouver, British Columbia",Males,60 years,16534
2016,"Greater Vancouver, British Columbia",Males,61 years,15997
2016,"Greater Vancouver, British Columbia",Males,62 years,14989
2016,"Greater Vancouver, British Columbia",Males,63 years,14345
2016,"Greater Vancouver, British Columbia",Males,64 years,14057
2016,"Greater Vancouver, British Columbia",Males,65 years,13719
2016,"Greater Vancouver, British Columbia",Males,66 years,13223
2016,"Greater Vancouver, British Columbia",Males,67 years,12709
2016,"Greater Vancouver, British Columbia",Males,68 years,12777
2016,"Greater Vancouver, British Columbia",Males,69 years,12190
2016,"Greater Vancouver, British Columbia",Males,70 years,10240
2016,"Greater Vancouver, British Columbia",Males,71 years,9366
2016,"Greater Vancouver, British Columbia",Males,72 years,9023
2016,"Greater Vancouver, British Columbia",Males,73 years,8210
2016,"Greater Vancouver, British Columbia",Males,74 years,7532
2016,"Greater Vancouver, British Columbia",Males,75 years,7087
2016,"Greater Vancouver, British Columbia",Males,76 years,6571
2016,"Greater Vancouver, British Columbia",Males,77 years,6101
2016,"Greater Vancouver, British Columbia",Males,78 years,5670
2016,"Greater Vancouver, British Columbia",Males,79 years,5310
2016,"Greater Vancouver, British Columbia",Males,80 years,5161
